created_at;entry_id;field1;field2;field3;field4;latitude;longitude;elevation;status
2026-03-26T13:01:12+07:00;83;19.69;25.25;29.4;22.06;;;;
2026-03-26T13:01:52+07:00;84;19.69;25.51;29.3;22.06;;;;
2026-03-26T13:02:09+07:00;85;19.69;24.46;29.3;22.06;;;;
2026-03-26T13:02:38+07:00;86;19.69;26.11;29.2;22.06;;;;
2026-03-26T13:02:55+07:00;87;19.69;27.43;29.2;22.13;;;;
2026-03-26T13:03:44+07:00;88;19.69;25.58;29.2;22.13;;;;
2026-03-26T13:04:13+07:00;89;19.69;25.45;29.3;22.06;;;;
2026-03-26T13:04:44+07:00;90;19.69;24.26;29.2;22.06;;;;
2026-03-26T13:05:13+07:00;91;19.63;24.72;29.3;22.13;;;;
2026-03-26T13:05:43+07:00;92;19.69;23.73;29.2;22.13;;;;
2026-03-26T13:05:59+07:00;93;19.69;24.99;29.2;22.13;;;;
2026-03-26T13:06:29+07:00;94;19.69;24.79;29.1;22.13;;;;
2026-03-26T13:07:00+07:00;95;19.69;25.45;29.3;22.13;;;;
2026-03-26T13:07:17+07:00;96;19.69;24.13;28.9;22.13;;;;
2026-03-26T13:07:51+07:00;97;19.69;25.71;29.2;22.13;;;;
2026-03-26T13:08:21+07:00;98;19.69;24.26;29.1;22.13;;;;
2026-03-26T13:08:51+07:00;99;19.69;24.72;29.2;22.19;;;;
2026-03-26T13:09:22+07:00;100;19.69;23.73;29;22.19;;;;
2026-03-26T13:09:51+07:00;101;19.69;24.72;29;22.19;;;;
2026-03-26T13:10:22+07:00;102;19.69;23.07;29.2;22.19;;;;
2026-03-26T13:10:54+07:00;103;19.69;24.66;29.2;22.19;;;;
2026-03-26T13:11:23+07:00;104;19.75;25.32;29.2;22.25;;;;
2026-03-26T13:11:52+07:00;105;19.69;25.84;29;22.25;;;;
2026-03-26T13:12:09+07:00;106;19.69;25.71;28.9;22.19;;;;
2026-03-26T13:12:38+07:00;107;19.69;25.78;29;22.25;;;;
2026-03-26T13:12:55+07:00;108;19.69;25.71;29.1;22.25;;;;
2026-03-26T13:13:40+07:00;109;19.69;25.18;29.1;22.25;;;;
2026-03-26T13:13:58+07:00;110;19.69;24.13;29;22.25;;;;
2026-03-26T13:14:27+07:00;111;19.69;26.77;28.9;22.25;;;;
2026-03-26T13:14:56+07:00;112;19.69;26.04;29.1;22.25;;;;
2026-03-26T13:15:25+07:00;113;19.63;25.98;29;22.25;;;;
2026-03-26T13:15:55+07:00;114;19.69;24.53;29.2;22.25;;;;
2026-03-26T13:16:25+07:00;115;19.69;25.78;29.1;22.25;;;;
2026-03-26T13:16:56+07:00;116;19.69;25.18;29;22.25;;;;
2026-03-26T13:17:27+07:00;117;19.75;25.38;29.1;22.25;;;;
2026-03-26T13:17:59+07:00;118;19.75;26.37;29;22.31;;;;
2026-03-26T13:18:53+07:00;119;19.69;24.53;28.9;22.25;;;;
2026-03-26T13:19:22+07:00;120;19.69;24.39;29;22.25;;;;
2026-03-26T13:19:53+07:00;121;19.69;25.05;28.9;22.25;;;;
2026-03-26T13:20:11+07:00;122;19.69;25.58;28.8;22.25;;;;
2026-03-26T13:20:42+07:00;123;19.75;25.98;29;22.31;;;;
2026-03-26T13:21:13+07:00;124;19.69;24.66;29.1;22.25;;;;
2026-03-26T13:21:29+07:00;125;19.69;25.51;29.1;22.25;;;;
2026-03-26T13:21:46+07:00;126;19.69;24.46;28.8;22.25;;;;
2026-03-26T13:22:02+07:00;127;19.69;26.24;28.9;22.31;;;;
2026-03-26T13:22:31+07:00;128;19.75;26.5;29.2;22.25;;;;
2026-03-26T13:22:48+07:00;129;19.69;26.37;29;22.25;;;;
2026-03-26T13:23:05+07:00;130;19.69;25.78;28.9;22.25;;;;
2026-03-26T13:23:36+07:00;131;19.75;25.38;28.8;22.25;;;;
2026-03-26T13:23:52+07:00;132;19.75;25.18;28.9;22.31;;;;
2026-03-26T13:24:22+07:00;133;19.69;24.59;29;22.31;;;;
2026-03-26T13:24:42+07:00;134;19.75;25.71;29.1;22.31;;;;
2026-03-26T13:25:03+07:00;135;19.75;24.79;28.9;22.31;;;;
2026-03-26T13:25:32+07:00;136;19.75;25.18;28.7;22.31;;;;
2026-03-26T13:26:18+07:00;137;19.69;25.05;28.8;22.31;;;;
2026-03-26T13:26:33+07:00;138;19.69;26.83;28.9;22.31;;;;
2026-03-26T13:26:50+07:00;139;19.75;25.71;29;22.31;;;;
2026-03-26T13:27:08+07:00;140;19.75;25.78;28.8;22.31;;;;
2026-03-26T13:27:24+07:00;141;19.75;25.71;28.8;22.31;;;;
2026-03-26T13:27:41+07:00;142;19.69;24.26;29.1;22.31;;;;
2026-03-26T13:27:57+07:00;143;19.75;25.58;29;22.31;;;;
2026-03-26T13:28:15+07:00;144;19.69;28.55;29.1;22.31;;;;
2026-03-26T13:29:06+07:00;145;19.69;25.58;28.7;22.31;;;;
